id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
11,MT0877,Singkawang,Shorea singkawang,Pohon Muda,icon/young_tree.svg,-,32,12,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6777923,101.4276661,47.95128191,1.9,Belum,-,-,-,8/18/2021 7:18,"50,000.00",819.50,-,Krisnawati et al. (2012),media/1629271239570.jpg,media/1629271282256.jpg,media/1629271263343.jpg,media/1629271162168.jpg,adopsipohonriau/11
12,MT0878,Merimbungan,Callerya atropurpurea,Pohon Muda,icon/young_tree.svg,-,32,19,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6776767,101.4276921,52.94965593,1.89,Belum,-,-,-,8/18/2021 8:24,"50,000.00","1,507.20",-,Krisnawati et al. (2012),media/1629271507417.jpg,media/1629271493135.jpg,media/1629271480498.jpg,media/1629271522347.jpg,adopsipohonriau/12
13,MT0879,Tempinis,Sloetia elongata,Pohon Muda,icon/young_tree.svg,-,34,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6777789,101.4278197,80.63637265,1.9,Belum,-,-,-,8/18/2021 9:27,"50,000.00","2,265.87",-,Krisnawati et al. (2012),media/1629271663404.jpg,media/1629271683970.jpg,media/1629271673478.jpg,media/1629271699007.jpg,adopsipohonriau/13
14,MT0880,Medang,Litsea angulata,Pohon Dewasa,icon/mature_tree.svg,-,43,18,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6778636,101.4277941,42.81874535,1.91,Belum,-,-,-,8/18/2021 10:30,"200,000.00","2,049.42",-,Krisnawati et al. (2012),media/1629271848489.jpg,media/1629271916125.jpg,media/1629271893860.jpg,media/1629271861747.jpg,adopsipohonriau/14
15,MT0881,Petaling,Ochanostachys amentacea,Pohon Dewasa,icon/mature_tree.svg,-,47,20,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6778955,101.4278674,47.89983131,1.92,Belum,-,-,-,8/18/2021 11:34,"200,000.00","4,451.87",-,Krisnawati et al. (2012),media/1629272068813.jpg,media/1629272124704.jpg,media/1629272096452.jpg,media/1629272142609.jpg,adopsipohonriau/15
16,MT0882,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,-,42,23,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6778938,101.4278078,57.00254069,1.92,Belum,-,-,-,8/18/2021 12:37,"200,000.00","2,834.70",-,Krisnawati et al. (2012),media/1629272316231.jpg,media/1629272302474.jpg,media/1629272283836.jpg,media/1629272325237.jpg,adopsipohonriau/16
17,MT0883,Marpoyan,Litsea angulata,Pohon Muda,icon/young_tree.svg,-,35,21,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6778822,101.4279525,51.89084046,1.92,Belum,-,-,-,8/18/2021 1:45,"50,000.00","1,390.14",-,Krisnawati et al. (2012),media/1629272764783.jpg,media/1629272843286.jpg,media/1629272828112.jpg,media/1629272812708.jpg,adopsipohonriau/17
18,MT0884,Terap,Artocarpus elasticus,Pohon Dewasa,icon/mature_tree.svg,-,50,24,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6779851,101.4279897,40.90520963,1.93,Belum,-,-,-,8/18/2021 2:50,"200,000.00","3,328.63",-,Krisnawati et al. (2012),media/1629273042231.jpg,media/1629273073871.jpg,media/1629273061041.jpg,media/1629273154658.jpg,adopsipohonriau/18
19,MT0885,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,-,48,22,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6780248,101.4278807,61.71521352,1.93,Belum,-,-,-,8/18/2021 3:53,"200,000.00","3,522.62",-,Krisnawati et al. (2012),media/1629273299875.jpg,media/1629273284592.jpg,media/1629273269835.jpg,media/1629273332192.jpg,adopsipohonriau/19
20,MT0886,Terap,Artocarpus elasticus,Pohon Dewasa,icon/mature_tree.svg,-,55,20,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6780259,101.4277295,25.72507202,1.93,Belum,-,-,-,8/18/2021 4:55,"200,000.00","3,355.70",-,Krisnawati et al. (2012),media/1629273437305.jpg,media/1629273426057.jpg,media/1629273412830.jpg,media/1629273448824.jpg,adopsipohonriau/20
21,MT0887,Tempunik,Artocarpus rigidus,Pohon Dewasa,icon/mature_tree.svg,-,52,19,Tahura Sultan Syarif Qasim,Mineral,Km 1,0.6766554,101.4283796,28.01866277,1.8,Belum,-,-,-,8/19/2021 12:51,"200,000.00","3,194.87",-,Krisnawati et al. (2012),media/1629341509038.jpg,media/1629341550061.jpg,media/1629341537273.jpg,media/1629341522830.jpg,adopsipohonriau/21
